frame,track_id,class,status,ttc_s,risk,alert
0,1,car,ACTIVE,inf,0.0,False
1,1,car,ACTIVE,inf,0.0,False
2,1,car,ACTIVE,inf,0.0,False
3,1,car,ACTIVE,inf,0.0,False
4,1,car,ACTIVE,inf,0.0,False
5,1,car,ACTIVE,inf,0.0,False
6,1,car,ACTIVE,inf,0.0,False
7,1,car,ACTIVE,inf,0.0,False
8,1,car,ACTIVE,inf,0.0,False
9,1,car,ACTIVE,inf,0.0,False
10,1,car,ACTIVE,inf,0.0,False
11,1,car,ACTIVE,inf,0.0,False
12,1,car,ACTIVE,63.74146147120604,0.0,False
12,2,traffic_sign,ACTIVE,inf,0.0,False
13,1,car,ACTIVE,212.34414788764752,0.0,False
13,2,traffic_sign,OCCLUDED,inf,0.0,False
14,1,car,ACTIVE,1374.2768167840563,0.0,False
14,2,traffic_sign,OCCLUDED,inf,0.0,False
15,1,car,ACTIVE,inf,0.0,False
15,2,traffic_sign,OCCLUDED,inf,0.0,False
16,1,car,ACTIVE,inf,0.0,False
16,2,traffic_sign,OCCLUDED,inf,0.0,False
17,1,car,ACTIVE,inf,0.0,False
17,2,traffic_sign,OCCLUDED,inf,0.0,False
18,1,car,ACTIVE,inf,0.0,False
18,2,traffic_sign,OCCLUDED,inf,0.0,False
19,1,car,ACTIVE,inf,0.0,False
19,2,traffic_sign,OCCLUDED,inf,0.0,False
20,1,car,ACTIVE,inf,0.0,False
20,2,traffic_sign,OCCLUDED,inf,0.0,False
21,1,car,ACTIVE,inf,0.0,False
21,2,traffic_sign,OCCLUDED,inf,0.0,False
22,1,car,ACTIVE,inf,0.0,False
22,2,traffic_sign,OCCLUDED,inf,0.0,False
23,1,car,ACTIVE,inf,0.0,False
23,2,traffic_sign,OCCLUDED,inf,0.0,False
24,1,car,ACTIVE,inf,0.0,False
24,2,traffic_sign,OCCLUDED,inf,0.0,False
25,1,car,ACTIVE,inf,0.0,False
25,2,traffic_sign,OCCLUDED,inf,0.0,False
26,1,car,ACTIVE,inf,0.0,False
26,2,traffic_sign,OCCLUDED,inf,0.0,False
27,1,car,ACTIVE,inf,0.0,False
27,2,traffic_sign,OCCLUDED,inf,0.0,False
28,1,car,ACTIVE,inf,0.0,False
28,2,traffic_sign,OCCLUDED,inf,0.0,False
29,1,car,ACTIVE,inf,0.0,False
29,2,traffic_sign,OCCLUDED,inf,0.0,False
30,1,car,ACTIVE,inf,0.0,False
30,2,traffic_sign,OCCLUDED,inf,0.0,False
31,1,car,ACTIVE,inf,0.0,False
31,2,traffic_sign,OCCLUDED,inf,0.0,False
32,1,car,ACTIVE,inf,0.0,False
32,2,traffic_sign,OCCLUDED,inf,0.0,False
33,1,car,ACTIVE,inf,0.0,False
34,1,car,ACTIVE,inf,0.0,False
35,1,car,ACTIVE,inf,0.0,False
36,1,car,ACTIVE,inf,0.0,False
37,1,car,ACTIVE,inf,0.0,False
38,1,car,ACTIVE,inf,0.0,False
39,1,car,ACTIVE,inf,0.0,False
40,1,car,ACTIVE,inf,0.0,False
41,1,car,ACTIVE,inf,0.0,False
42,1,car,ACTIVE,inf,0.0,False
43,1,car,ACTIVE,inf,0.0,False
44,1,car,ACTIVE,inf,0.0,False
45,1,car,ACTIVE,inf,0.0,False
46,1,car,ACTIVE,inf,0.0,False
47,1,car,ACTIVE,inf,0.0,False
48,1,car,ACTIVE,inf,0.0,False
49,1,car,ACTIVE,inf,0.0,False
50,1,car,ACTIVE,inf,0.0,False
51,1,car,ACTIVE,inf,0.0,False
52,1,car,ACTIVE,inf,0.0,False
53,1,car,ACTIVE,inf,0.0,False
54,1,car,ACTIVE,inf,0.0,False
55,1,car,ACTIVE,inf,0.0,False
56,1,car,ACTIVE,inf,0.0,False
57,1,car,ACTIVE,inf,0.0,False
58,1,car,ACTIVE,inf,0.0,False
59,1,car,ACTIVE,inf,0.0,False
60,1,car,ACTIVE,inf,0.0,False
61,1,car,ACTIVE,inf,0.0,False
62,1,car,ACTIVE,inf,0.0,False
63,1,car,ACTIVE,inf,0.0,False
64,1,car,ACTIVE,inf,0.0,False
65,1,car,ACTIVE,inf,0.0,False
66,1,car,ACTIVE,inf,0.0,False
67,1,car,ACTIVE,inf,0.0,False
68,1,car,ACTIVE,inf,0.0,False
69,1,car,ACTIVE,inf,0.0,False
70,1,car,ACTIVE,inf,0.0,False
71,1,car,ACTIVE,inf,0.0,False
72,1,car,ACTIVE,inf,0.0,False
73,1,car,ACTIVE,inf,0.0,False
74,1,car,ACTIVE,inf,0.0,False
75,1,car,ACTIVE,inf,0.0,False
76,1,car,ACTIVE,inf,0.0,False
77,1,car,ACTIVE,inf,0.0,False
78,1,car,ACTIVE,inf,0.0,False
79,1,car,ACTIVE,inf,0.0,False
80,1,car,ACTIVE,inf,0.0,False
81,1,car,ACTIVE,inf,0.0,False
82,1,car,ACTIVE,inf,0.0,False
83,1,car,ACTIVE,inf,0.0,False
84,1,car,ACTIVE,inf,0.0,False
85,1,car,ACTIVE,inf,0.0,False
86,1,car,ACTIVE,inf,0.0,False
87,1,car,ACTIVE,inf,0.0,False
88,1,car,ACTIVE,inf,0.0,False
89,1,car,ACTIVE,inf,0.0,False
